;T0;con;v;p;T
1;45,27272727;9,894459103;0,693700219;3;1164
2;45,27272727;9,894459103;0,693700219;3;1163
3;45,27272727;10,94722955;0,685249632;3;1163
4;45,27272727;9,894459103;0,693700219;3;1162
5;40;10,31662269;0,690306108;3;1143
6;40,18181818;9,473614776;0,697116532;3;1143
7;41,81818182;11,79023747;0,301104543;3;1143
8;41,63636364;12;0,3;3;1143
9;41,81818182;11,36939314;0,303321955;3;1142
10;49,81818182;8,420844327;0,319212944;3;1162
11;50;9,68469657;0,312322038;3;1164
12;49,81818182;9,473614776;0,313462659;3;1164
13;50;9,263852243;0,314606056;3;1164
14;45,09090909;9,473614776;0,984855549;3;1161
15;45,09090909;10,94722955;0,9700247;3;1163
16;44,90909091;8,420844327;0,995640108;3;1163
17;45,09090909;10,1055409;0,97846141;3;1163
18;41,63636364;9,473614776;0,697116532;1;1143
19;41,81818182;9,894459103;0,693700219;1;1144
20;45,27272727;9,894459103;0,693700219;3;1162
21;45,27272727;9,894459103;0,693700219;3;1168
22;45,27272727;9,894459103;0,693700219;3;1168
23;45,27272727;10,94722955;0,685249632;3;1168
24;45,27272727;9,894459103;0,693700219;3;1169
25;40;10,31662269;0,690306108;3;1150
26;40,18181818;9,473614776;0,697116532;3;1151
27;41,81818182;11,79023747;0,301104543;3;1149
28;41,63636364;12;0,3;3;1147
29;41,81818182;11,36939314;0,303321955;3;1149
30;49,81818182;8,420844327;0,319212944;3;1168
31;50;9,68469657;0,312322038;3;1169
32;49,81818182;9,473614776;0,313462659;3;1170
33;50;9,263852243;0,314606056;3;1169
34;45,09090909;9,473614776;0,984855549;3;1167
35;45,09090909;10,94722955;0,9700247;3;1168
36;44,90909091;8,420844327;0,995640108;3;1161
37;45,09090909;10,1055409;0,97846141;3;1169
38;41,63636364;9,473614776;0,697116532;1;1148
39;41,81818182;9,894459103;0,693700219;1;1149
40;45,27272727;9,894459103;0,693700219;3;1170
41;46,36363636;10,73746702;0,686928649;3;1166
42;47,09090909;9,473614776;0,697116532;3;1165
43;47,09090909;9,263852243;0,698831627;3;1165
44;47,09090909;9,473614776;0,697116532;3;1166
45;43,81818182;10,1055409;0,310051897;3;1144
46;49,81818182;9,052770449;0,315752227;3;1168
47;49,81818182;9,894459103;0,311184192;3;1166
48;49,81818182;9,473614776;0,313462659;3;1167
49;43,63636364;10,52638522;0,307795632;3;1146
50;43,45454545;10,31662269;0,308922377;3;1145
51;46,36363636;9,052770449;0,989151611;3;1164
52;46,18181818;8,420844327;0,995640108;3;1164
53;46,18181818;9,263852243;0,987000805;3;1165
54;46,18181818;8;1;3;1162
55;43,45454545;8,211081794;0,707484806;1;1145
56;43,45454545;9,68469657;0,695404213;1;1145
57;42,18181818;8;0,709230428;3;1143
58;42,54545455;8,211081794;0,707484806;3;1145
59;47,09090909;8,631926121;0,704007438;3;1164
60;43,45454545;9,473614776;0,697116532;1;1146
61;46,36363636;10,73746702;0,686928649;3;1164
62;47,09090909;9,473614776;0,697116532;3;1163
63;47,09090909;9,263852243;0,698831627;3;1162
64;47,09090909;9,473614776;0,697116532;3;1163
65;43,81818182;10,1055409;0,310051897;3;1143
66;49,81818182;9,052770449;0,315752227;3;1164
67;49,81818182;9,894459103;0,311184192;3;1163
68;49,81818182;9,473614776;0,313462659;3;1164
69;43,63636364;10,52638522;0,307795632;3;1144
70;43,45454545;10,31662269;0,308922377;3;1143
71;46,36363636;9,052770449;0,989151611;3;1164
72;46,18181818;8,420844327;0,995640108;3;1164
73;46,18181818;9,263852243;0,987000805;3;1164
74;46,18181818;8;1;3;1163
75;43,45454545;8,211081794;0,707484806;1;1143
76;43,45454545;9,68469657;0,695404213;1;1143
77;42,18181818;8;0,709230428;3;1142
78;42,54545455;8,211081794;0,707484806;3;1143
79;47,09090909;8,631926121;0,704007438;3;1163
80;43,45454545;9,473614776;0,697116532;1;1143
